formation
0--6
1--5
1--5
1--5
0--6
1--5
1--5
1--5
0--6
1--5
0--6
2--4
1--5
1--5
0--6
1--5
1--5
1--5
0--6
0--6
0--6
1--5
1--5
1--5
1--5
0--6
1--5
2--4
1--5
1--5
1--5
1--5
1--5
1--5
1--5
