開始フレーム,終了フレーム,フォーメーション,方向,信頼度
18851,19658,3-3_right,right,0.824484625636104
19659,19659,2-4_left,left,0.8120177995412836
19660,19665,3-3_left,right,0.8110091808571785
19666,19666,2-4_left,left,0.8137700202083978
19667,19667,3-3_left,right,0.8124170209792823
19668,19668,1-5_left,left,0.7890144499491171
19669,19674,3-3_left,right,0.8209008169200233
19675,19676,3-3_left,left,0.7929260435120742
19677,19681,3-3_left,right,0.8222458707610109
19682,19682,3-3_left,left,0.8180613807497765
19683,19683,3-3_left,right,0.8199564743349216
19684,19688,2-4_right,left,0.8093183727615046
19689,19691,3-3_left,right,0.8124133965279852
19692,19692,2-4_right,left,0.815821761179341
19693,19696,2-4_right,right,0.8122519711840628
19697,19702,2-4_right,left,0.8306717944287679
19703,19703,3-3_left,right,0.8071144755333872
19704,19805,3-3_left,left,0.8357735369665343
19806,19806,2-4_left,right,0.7937506161573422
19807,20825,3-3_left,left,0.7880085698127646
20992,21000,3-3_left,right,0.7401203607770017
21001,21001,2-4_left,left,0.755834687676535
21002,21098,3-3_right,right,0.6988076715326704
21099,21099,3-3_left,left,0.718320633446867
21100,21110,1-5_right,right,0.6796342533995113
21111,21111,1-5_left,left,0.7140922181237094
21112,21115,1-5_right,right,0.6854919667133466
21116,21116,1-2-3_left,left,0.7028417602487843
21117,21120,1-2-3_right,right,0.650307019468253
21121,21121,1-2-3_left,left,0.6861960364273122
21122,21123,1-2-3_right,right,0.6638778046328425
21124,21124,1-5_left,left,0.7124703142807111
21125,21125,1-2-3_right,right,0.6733747836477002
21126,21126,1-5_left,left,0.7146512959687503
21127,21781,3-3_right,right,0.8365822451116066
21782,21782,3-3_left,left,0.4838212351310215
21783,21789,0-6_right,right,0.5314271257748647
21790,21790,1-2-3_left,left,0.5268909961337819
21791,21901,0-6_right,right,0.5886687524047143
21902,21903,3-3_left,left,0.7627013820150428
21904,21906,3-3_right,right,0.7544145137993731
22088,22093,0-6_left,left,0.7653639697137495
22101,22102,0-6_left,right,0.762931307047853
22103,22103,0-6_left,left,0.8207739566294205
22104,22104,2-4_left,right,0.7281555081725926
22105,22241,3-3_left,left,0.7543790604995455
22242,22242,0-6_left,right,0.770608012161344
22243,22294,0-6_left,left,0.7654998435123305
22295,22295,3-3_left,right,0.7946045662047628
22296,22491,3-3_left,left,0.7631160501156145
22675,22767,3-3_right,right,0.8103043515487395
22768,22768,2-4_left,left,0.8626504492892347
22769,23358,3-3_left,right,0.7926317331181727
23359,23359,1-5_left,left,0.6525985714938055
23360,23375,0-6_right,right,0.7139461566991181
23376,23377,1-5_left,left,0.588438204657402
23378,23378,0-6_right,right,0.5578372619359748
23379,23379,1-2-3_left,left,0.4941842053067811
23380,23380,0-6_right,right,0.4642829708805449
23381,23381,1-5_left,left,0.42965117582938483
23382,23542,2-4_right,right,0.7552129983911621
23543,23543,3-3_right,left,0.7598312559735497
23544,23561,3-3_right,right,0.7670328597318676
23562,23562,1-5_right,left,0.7779135082564929
23563,23563,3-3_right,right,0.741980113596949
23564,23565,1-5_right,left,0.7757551022308272
23566,23567,1-5_right,right,0.7424004461821285
23568,23568,1-5_right,left,0.7748295875146199
23569,23574,2-4_right,right,0.7676740726193481
23575,23575,1-2-3_right,left,0.7866469178455099
23576,23576,2-4_right,right,0.7690443569251042
23577,23579,1-2-3_right,left,0.7908371417592057
23580,23582,2-4_left,right,0.7752831671889493
23583,23583,0-6_left,left,0.804250882559511
23584,23585,2-4_left,right,0.8007255437133147
23586,23590,0-6_left,left,0.8059981718558178
23591,23591,2-4_left,right,0.7983953565670472
23592,23595,0-6_left,left,0.7852276405832321
23596,23597,2-4_left,right,0.8013596648198638
23598,23600,1-5_left,left,0.803725728373226
23601,23601,1-2-3_left,right,0.7811035980267248
23602,23602,1-5_left,left,0.8032207270267828
23603,23604,1-2-3_left,right,0.7776291967257475
23605,23606,1-5_left,left,0.8039618069688872
23607,23607,1-5_right,right,0.7749146015375356
23608,23609,1-5_left,left,0.8041426944296266
23610,23610,1-5_right,right,0.7774870929600113
23611,23612,1-5_left,left,0.804147244363246
23613,23613,1-5_right,right,0.7755406580003429
23614,23618,1-5_left,left,0.8028191698460351
23619,23619,1-5_right,right,0.7820737980543824
23620,23620,1-5_left,left,0.8025369655716733
23621,23621,1-5_right,right,0.7852181651783643
23622,23668,1-5_left,left,0.8001863038698008
23669,23669,1-5_left,right,0.7863061950540392
23670,23676,1-5_left,left,0.8016278564108662
23677,23677,1-5_left,right,0.7938397109221812
23678,23686,1-5_left,left,0.8022417172395236
23687,23687,1-5_left,right,0.800452101022246
23688,23688,0-6_left,left,0.7831101965402959
23689,23689,1-5_left,right,0.7994469898716605
23690,23692,0-6_left,left,0.7789506490242507
23693,23693,1-5_left,right,0.7908153754601644
23694,23697,0-6_left,left,0.7795092361551941
23698,23698,1-2-3_left,right,0.7941046623930572
23699,23715,0-6_left,left,0.7867213267995484
23716,23718,1-2-3_left,right,0.8089651831767234
23719,23721,0-6_left,left,0.7909280035061718
23722,23723,1-2-3_left,right,0.811584832666665
23724,23724,0-6_left,left,0.7949884707892528
23725,23725,1-2-3_left,right,0.8152949824072001
23726,23726,0-6_left,left,0.7934008075443678
23727,23731,1-2-3_left,right,0.8070288260775371
23732,23733,3-3_left,left,0.7909405871814785
23734,23734,1-2-3_left,right,0.8050414053284483
23735,23735,3-3_left,left,0.7947995006517575
23736,23737,1-2-3_left,right,0.7934165042092287
23738,23741,3-3_left,left,0.8228866537042199
23742,23742,1-2-3_left,right,0.7919751456327778
23743,23745,3-3_left,left,0.8167551815305552
23746,23746,1-2-3_left,right,0.7907664008276971
23747,23747,3-3_left,left,0.8159454441613567
23748,23750,1-2-3_left,right,0.7905418322581679
23751,23751,3-3_left,left,0.8220284479072792
23752,23763,1-2-3_left,right,0.7832212407796186
23764,23764,0-6_left,left,0.7823935533837149
23765,23766,1-2-3_left,right,0.7809824287490925
23767,23772,0-6_left,left,0.7706717122272203
23773,23776,0-6_right,right,0.7632856651310558
23777,23782,0-6_left,left,0.7807281444220878
23783,23783,3-3_right,right,0.770475761714663
23784,23791,0-6_left,left,0.7839229688420293
23792,23792,3-3_right,right,0.803112754122531
23793,23796,0-6_left,left,0.7971731670375278
23797,23798,3-3_right,right,0.810280416966165
23799,23801,0-6_left,left,0.8078683306051958
23802,23802,0-6_right,right,0.8063651582209759
23803,23804,1-5_left,left,0.8024641447839721
23805,23805,1-2-3_right,right,0.7990617323777499
23806,24083,2-4_right,left,0.7873800227049136
24084,24084,1-2-3_right,right,0.7105842846441142
24085,24100,3-3_right,left,0.7746516851265893
24101,24101,1-2-3_right,right,0.7037663364154982
24148,24285,3-3_left,left,0.767100931641432
24286,24286,3-3_right,right,0.7538570004355855
24287,24340,3-3_left,left,0.7566172735137854
24341,24341,1-2-3_right,right,0.7501009096648021
24342,24342,3-3_left,left,0.7507858204270441
24343,24343,1-2-3_right,right,0.7495965272277251
24344,24383,3-3_left,left,0.747682079978484
24384,24384,3-3_right,right,0.7413312032084528
24385,24917,3-3_left,left,0.8026088183685396
24918,24918,3-3_left,right,0.7992542139788043
24919,24926,1-2-3_left,left,0.8362055684078927
24927,24927,2-4_left,right,0.8203693351936372
24928,24928,3-3_left,left,0.8445346043822759
24929,24930,2-4_left,right,0.8396243748466015
24931,24932,3-3_left,left,0.8353364884609753
24933,26074,3-3_right,right,0.7725642537795944
26075,26075,1-2-3_left,left,0.5587428808652237
26076,26080,1-5_right,right,0.6014396976540991
26081,26081,2-4_left,left,0.5845832654099007
26082,26088,1-5_right,right,0.6624186971776638
26089,26090,1-2-3_left,left,0.6201943495206536
26091,26134,0-6_right,right,0.6903408904988336
26276,26632,3-3_left,left,0.8068439139115797
26633,26633,3-3_left,right,0.6359592160351999
26634,26644,2-4_left,left,0.6310916548115121
26720,26978,3-3_left,right,0.8079873996707257
26979,26986,3-3_left,left,0.8203096247859554
26987,26987,3-3_left,right,0.8159342588315387
26988,27124,1-5_left,left,0.8039517567114128
27125,27137,3-3_left,right,0.8063833613689043
27138,27141,3-3_left,left,0.8012507820004227
27142,27142,1-5_left,right,0.83621493552065
27143,27143,3-3_left,left,0.8217469245527077
27144,27447,3-3_left,right,0.7966629804527553
27448,27448,0-6_left,left,0.8295786225226165
27449,27482,2-4_left,right,0.8295355059980681
27483,27483,0-6_left,left,0.7480962957422521
27484,27496,3-3_left,right,0.7735422476681256
27497,27497,0-6_left,left,0.776226028684716
27498,27500,3-3_left,right,0.7604262131939068
27501,27501,0-6_left,left,0.7220059780178271
27502,27521,3-3_left,right,0.6390034607423091
27522,27522,0-6_left,left,0.4020343306664122
27523,27524,0-6_right,right,0.3580783869167832
27525,27525,0-6_left,left,0.4061592133627848
27526,27758,0-6_right,right,0.386759534706858
27759,27761,2-4_left,left,0.7572089033684376
27762,27762,3-3_left,right,0.7119428961552327
27763,27769,2-4_left,left,0.7539190870939378
27770,27770,3-3_left,right,0.714381930553444
27771,28039,2-4_left,left,0.7260957255775861
28192,28204,0-6_left,right,0.6300952222383541
28205,28206,1-5_left,left,0.6962403856768395
28210,28215,1-2-3_left,right,0.7241290387509866
28216,28216,1-5_left,left,0.768497361426235
28217,28225,1-2-3_left,right,0.7215817331476512
28226,28226,0-6_left,left,0.7923731438050915
28227,28228,1-5_right,right,0.7632286683306448
28229,28230,0-6_left,left,0.7636175424033
28231,28276,3-3_right,right,0.7234670496740723
28277,28277,0-6_left,left,0.7274055933386666
28278,28278,1-5_left,right,0.803231584467847
28279,28279,0-6_left,left,0.7668245127983413
28280,28281,1-5_left,right,0.8359149266257718
28381,28385,3-3_left,left,0.7511352641273967
28386,28387,2-4_right,right,0.7164038170187691
28388,28388,3-3_left,left,0.755798561579226
28389,28389,2-4_right,right,0.71378068926489
28390,28391,3-3_left,left,0.75727152505761
28392,28392,3-3_right,right,0.7303860471328307
28393,28397,3-3_left,left,0.7578125755086834
28398,28398,3-3_right,right,0.7203753860365097
28399,28400,3-3_left,left,0.7591596670586992
28401,28401,3-3_right,right,0.717845076636791
28402,28414,3-3_left,left,0.7510444723704315
28415,28415,3-3_right,right,0.718599660394174
28416,28417,3-3_left,left,0.7470036491117706
28418,28418,3-3_right,right,0.7152933892028387
28419,28441,0-6_right,left,0.7867028744434509
28442,28442,0-6_right,right,0.8071687496047945
28443,28590,1-5_right,left,0.8241729938077034
28591,28592,3-3_right,right,0.6774511126288529
28593,28625,2-4_right,left,0.7221828100487219
28626,28626,1-2-3_right,right,0.7069262554062579
28627,28639,1-2-3_right,left,0.7340674841404791
28640,28641,1-2-3_right,right,0.7012002531406565
28642,28642,0-6_right,left,0.7413685738467354
28643,28643,1-2-3_right,right,0.7002788488273602
28644,28647,0-6_right,left,0.7423010937684144
28648,28648,1-2-3_right,right,0.7040817033708142
28649,28650,1-2-3_right,left,0.7532335056975049
28651,28651,1-2-3_right,right,0.6970383969180372
28652,28667,0-6_right,left,0.7448612668054749
28668,28668,0-6_right,right,0.6585333098059997
28669,28672,1-5_left,left,0.6609685190975477
28673,28673,0-6_right,right,0.6563990850539307
28674,28675,0-6_left,left,0.6321399342428535
28676,28676,0-6_right,right,0.6528662445080503
28677,28677,0-6_left,left,0.6283751704708459
28678,28678,0-6_right,right,0.6576171923695668
28679,28692,0-6_right,left,0.6199816878920058
28850,28999,3-3_right,right,0.5329889790419958
29002,29003,1-5_left,left,0.6791774580654437
29004,29004,0-6_right,right,0.6795483683255265
29005,29006,1-2-3_left,left,0.6864583858569739
29007,29008,0-6_right,right,0.7046577138877286
29009,29010,1-2-3_left,left,0.7016293577273109
29011,30006,1-2-3_right,right,0.8316602376932853
30007,30055,3-3_left,left,0.7449920683972999
30056,30056,3-3_left,right,0.7450741610634574
30057,30163,3-3_left,left,0.7950133265100338
30164,30166,3-3_right,right,0.8127410608443933
30167,30169,0-6_left,left,0.8508130315909256
30170,30170,2-4_left,right,0.8346494649959889
30171,30171,0-6_left,left,0.8333646867695932
30172,30172,2-4_left,right,0.8379004019101203
30173,30173,0-6_left,left,0.8338666907922468
30174,30174,2-4_left,right,0.8452030572413589
30175,30183,0-6_left,left,0.8337530344692465
30184,30185,2-4_left,right,0.8566415350396885
30186,30190,0-6_left,left,0.8316232332930298
30191,30191,0-6_left,right,0.8534335317611657
30192,30195,0-6_left,left,0.822318570057373
30196,30196,2-4_left,right,0.852684974395546
30197,30204,0-6_left,left,0.8178252590477695
30205,30205,0-6_left,right,0.7931913317294138
30206,30217,0-6_left,left,0.7893724347472171
30218,30218,0-6_left,right,0.7848263172456108
30219,30227,0-6_left,left,0.7916101149671397
30228,30228,0-6_left,right,0.7885628479073287
30229,30234,0-6_left,left,0.7912547913617046
30235,30235,0-6_left,right,0.7773168657793977
30236,30558,0-6_left,left,0.8111290100384375
30559,30559,0-6_right,right,0.745845198405253
30560,30575,3-3_right,left,0.7537369947402536
30681,31853,1-2-3_right,right,0.838522329141805
31854,31854,0-6_left,left,0.7122219739449946
31861,31948,3-3_right,right,0.7633018171650696
31949,31949,3-3_left,left,0.7550829753096435
31950,31956,3-3_right,right,0.6927979982770114
31957,31957,3-3_right,left,0.7293719370690952
31958,31962,3-3_right,right,0.6810033914137681
31963,31963,3-3_left,left,0.7395504402167721
31964,31965,3-3_right,right,0.6632932094783399
