開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳
34999,35069,0-6_right,right,0.78,"1-5_left: 9, 1-2-3_left: 10, 2-4_left: 4, 3-3_left: 22, 3-3_right: 3, 0-6_right: 4"
35071,35174,1-5_right,right,0.77,"0-6_right: 35, 1-5_right: 24, 1-2-3_right: 4, 3-3_right: 33, 3-3_left: 7, 1-5_left: 1"
35178,35241,3-3_right,right,0.78,"1-5_right: 6, 0-6_left: 2, 1-5_left: 2, 0-6_right: 40, 3-3_right: 13, 3-3_left: 1"
35243,35298,0-6_right,right,0.78,"0-6_right: 6, 3-3_right: 6, 1-5_right: 31, 1-2-3_right: 3, 3-3_left: 4, 1-5_left: 6"
35300,35562,3-3_right,right,0.74,"1-5_right: 31, 1-2-3_left: 80, 3-3_left: 31, 3-3_right: 23, 0-6_right: 1, 0-6_left: 5, 1-2-3_right: 12, 1-5_left: 22, 2-4_left: 2"
35564,35867,2-4_right,right,0.88,"1-5_right: 3, 3-3_right: 18, 2-4_right: 1, 1-2-3_right: 7, 3-3_left: 17, 1-2-3_left: 10, 0-6_left: 4, 2-4_left: 7"
35868,36378,1-5_left,left,0.93,"0-6_left: 148, 1-5_left: 230, 1-2-3_left: 72, 3-3_left: 32, 2-4_left: 13"
36379,36985,2-4_right,right,0.92,"1-5_left: 10, 0-6_left: 13, 1-2-3_left: 19, 3-3_left: 64, 2-4_left: 4, 3-3_right: 150, 2-4_right: 111, 1-5_right: 12, 0-6_right: 95, 1-2-3_right: 55"
36989,37699,2-4_left,right,0.91,"1-5_left: 22, 3-3_left: 54, 3-3_right: 117, 2-4_right: 8, 1-2-3_right: 47, 2-4_left: 17, 1-2-3_left: 19, 0-6_left: 18, 1-5_right: 16, 0-6_right: 14"
37701,37759,1-2-3_left,right,0.81,"1-2-3_right: 2, 3-3_left: 2, 0-6_left: 1, 1-2-3_left: 1"
37760,37963,2-4_left,left,0.94,"1-2-3_left: 42, 3-3_left: 34, 0-6_left: 29, 1-5_left: 42, 2-4_left: 5, 3-3_right: 42, 2-4_right: 8"
37965,38442,0-6_left,left,0.94,"3-3_left: 54, 1-2-3_left: 38, 2-4_left: 44, 1-5_left: 56, 0-6_left: 30, 3-3_right: 10, 1-5_right: 3, 2-4_right: 3"
38443,39285,2-4_right,right,0.9,"1-2-3_right: 64, 3-3_right: 84, 1-5_left: 12, 1-2-3_left: 16, 2-4_left: 23, 3-3_left: 68, 1-5_right: 58, 2-4_right: 80, 0-6_right: 9"
39287,39364,1-5_left,right,0.78,"3-3_right: 8, 1-2-3_right: 10, 1-5_right: 15, 1-2-3_left: 20, 1-5_left: 14, 3-3_left: 8"
39365,39808,3-3_left,left,0.94,"1-5_left: 28, 2-4_left: 103, 0-6_left: 110, 3-3_left: 12, 1-2-3_left: 21"
39809,40190,2-4_left,right,0.87,"3-3_left: 30, 1-5_left: 14, 1-2-3_left: 10, 3-3_right: 6, 0-6_left: 3, 2-4_left: 1"
40191,40674,2-4_left,left,0.93,"0-6_left: 116, 1-5_left: 146, 1-2-3_left: 95, 3-3_left: 69, 2-4_left: 54, 3-3_right: 2"
40675,41204,1-2-3_left,right,0.91,"1-5_left: 48, 0-6_left: 8, 1-2-3_left: 13, 3-3_left: 50, 1-2-3_right: 12, 3-3_right: 51, 2-4_right: 6"
41205,41605,1-5_left,left,0.93,"1-5_left: 63, 0-6_left: 152, 1-2-3_left: 38, 2-4_left: 60, 3-3_left: 64, 3-3_right: 9, 1-5_right: 5"
41606,41975,1-2-3_left,right,0.84,"3-3_left: 17, 2-4_left: 13, 3-3_right: 32, 1-2-3_left: 4, 1-5_left: 10, 0-6_right: 7, 1-5_right: 14, 1-2-3_right: 5"
41977,42224,1-2-3_left,right,0.8,"1-5_right: 6, 0-6_right: 2, 3-3_left: 9, 1-2-3_left: 2"
42260,42491,0-6_left,left,0.92,"3-3_left: 39, 0-6_left: 39, 1-5_left: 56, 1-2-3_left: 44, 2-4_left: 15, 3-3_right: 12, 1-2-3_right: 16"
42575,43085,3-3_left,right,0.92,"3-3_left: 139, 3-3_right: 110, 2-4_right: 16, 1-2-3_right: 132, 0-6_right: 15, 2-4_left: 21, 1-5_right: 2, 1-2-3_left: 15, 1-5_left: 28"
43087,43280,1-5_left,right,0.74,"1-2-3_left: 4, 3-3_left: 4, 0-6_left: 1, 1-5_left: 6"
43284,43395,0-6_right,right,0.72,"1-5_left: 5, 1-5_right: 38, 0-6_right: 18"
43526,43904,0-6_left,left,0.94,"0-6_left: 145, 1-5_left: 45, 1-2-3_left: 74, 3-3_left: 76, 2-4_left: 18, 3-3_right: 15, 2-4_right: 5, 1-2-3_right: 1"
44094,44155,1-5_left,right,0.89,"1-2-3_right: 3, 1-5_right: 3, 3-3_left: 15, 2-4_left: 4, 3-3_right: 22, 1-2-3_left: 6, 0-6_left: 2, 1-5_left: 2, 2-4_right: 2"
44157,44263,3-3_right,right,0.87,"3-3_right: 57, 3-3_left: 12, 2-4_left: 20"
44265,45129,3-3_right,right,0.9,"2-4_left: 62, 1-2-3_right: 104, 3-3_left: 181, 1-5_right: 38, 0-6_right: 30, 3-3_right: 63, 1-2-3_left: 15, 1-5_left: 51, 0-6_left: 7"
45130,45371,0-6_left,left,0.94,"1-5_left: 76, 0-6_left: 96, 1-2-3_left: 37, 3-3_left: 8, 2-4_left: 2, 3-3_right: 11, 1-2-3_right: 11"
45372,45552,1-2-3_right,right,0.8,1-2-3_right: 3
45736,46453,0-6_right,right,0.91,"1-2-3_left: 6, 3-3_right: 253, 1-2-3_right: 70, 3-3_left: 110, 2-4_right: 63, 1-5_right: 44, 0-6_right: 1"
46455,46512,1-5_right,right,0.8,"1-2-3_right: 25, 3-3_left: 2, 1-5_right: 31"
46514,47287,2-4_right,right,0.91,"1-5_right: 35, 3-3_left: 103, 1-2-3_right: 187, 3-3_right: 142, 2-4_right: 79, 0-6_right: 18, 2-4_left: 7, 1-2-3_left: 8, 1-5_left: 17"
47288,47496,0-6_left,left,0.87,"1-5_left: 4, 3-3_right: 4, 2-4_left: 3, 3-3_left: 42, 0-6_left: 48"
47498,47901,1-5_left,left,0.92,"0-6_left: 81, 1-5_left: 24, 2-4_left: 44, 1-2-3_left: 86, 3-3_left: 24, 3-3_right: 2"
47903,48446,1-5_left,left,0.93,"0-6_left: 15, 1-2-3_left: 198, 2-4_left: 104, 1-5_left: 51, 3-3_left: 52, 3-3_right: 2"
48447,48771,2-4_left,right,0.9,"3-3_left: 16, 2-4_left: 9, 1-5_left: 21, 1-2-3_left: 30, 3-3_right: 48, 2-4_right: 6, 1-2-3_right: 2"
48840,48890,0-6_left,left,0.86,"3-3_left: 22, 2-4_left: 8, 1-5_left: 20, 0-6_left: 1"
48892,49253,3-3_left,left,0.93,"0-6_left: 96, 1-5_left: 207, 2-4_left: 6, 1-2-3_left: 40, 3-3_left: 13"
49256,49421,2-4_left,left,0.92,"2-4_left: 50, 3-3_left: 30, 1-2-3_left: 52, 0-6_left: 4, 3-3_right: 14, 1-2-3_right: 1"
49422,49706,1-5_left,right,0.91,"1-5_left: 9, 1-2-3_left: 23, 3-3_left: 14, 1-2-3_right: 29, 3-3_right: 10, 2-4_right: 6, 2-4_left: 3, 0-6_right: 14, 1-5_right: 11"
49956,50766,0-6_left,left,0.92,"0-6_left: 226, 1-5_left: 99, 1-2-3_left: 238, 2-4_left: 72, 3-3_left: 8"
