start_frame,end_frame
18800,19700
19700,20840
22100,22500
23600,24900
25200,25850
26300,26600
26750,26900
27750,28050
29100,29700
30000,30600
30900,31700
32100,32900
35900,36450
36600,36900
37800,38200
38700,39000
39530,39800
40300,40700
41200,41600
42300,42500
42700,43050
43550,43900
44300,44600
45100,45400
45750,47100
47400,48400
48800,49400
50000,51200
51360,52000
52500,53000
53400,54000
54950,56300
57500,58000
58900,59450
60300,60800
