開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳
36989,37699,3-3_right,right,0.8,"1-5_left: 16, 3-3_left: 11, 3-3_right: 89, 1-2-3_right: 71, 0-6_right: 56, 1-5_right: 77, 1-2-3_left: 4, 0-6_left: 8"
37701,37759,1-2-3_right,right,0.71,"1-2-3_right: 2, 3-3_left: 2, 1-2-3_left: 2"
37760,37963,0-6_left,left,0.82,"1-2-3_left: 1, 3-3_left: 1, 0-6_left: 189, 1-5_left: 11"
37965,38442,0-6_left,left,0.84,"0-6_left: 211, 1-5_left: 14, 3-3_left: 4, 1-2-3_left: 6, 3-3_right: 3"
38443,39285,1-5_right,right,0.86,"1-2-3_right: 38, 3-3_right: 54, 1-5_left: 4, 1-2-3_left: 1, 2-4_left: 1, 3-3_left: 24, 1-5_right: 170, 0-6_right: 118, 2-4_right: 4"
39287,39364,1-5_right,right,0.7,"1-5_right: 50, 1-2-3_right: 21, 3-3_right: 2, 1-2-3_left: 1, 3-3_left: 1"
39365,39808,0-6_left,left,0.83,"1-5_left: 5, 0-6_left: 269"
39809,40190,3-3_left,right,0.74,"3-3_left: 40, 1-5_left: 1, 1-2-3_left: 7, 3-3_right: 13, 0-6_right: 2, 1-5_right: 1"
40191,40674,0-6_left,left,0.84,"0-6_left: 480, 2-4_left: 1, 1-5_left: 1"
40675,41204,3-3_right,right,0.81,"3-3_right: 52, 3-3_left: 38, 1-5_left: 30, 0-6_left: 2, 1-2-3_left: 3, 1-2-3_right: 33, 0-6_right: 8, 2-4_right: 1, 1-5_right: 21"
41205,41605,0-6_left,left,0.83,"0-6_left: 353, 1-5_left: 19, 2-4_left: 13, 3-3_left: 3, 1-5_right: 3"
41606,41975,0-6_right,right,0.57,"3-3_left: 17, 2-4_left: 13, 3-3_right: 23, 1-2-3_left: 7, 1-5_left: 2, 1-5_right: 1, 0-6_right: 39"
41977,42224,0-6_right,right,0.43,"0-6_right: 8, 3-3_left: 6, 1-2-3_left: 2, 1-2-3_right: 3"
42260,42491,0-6_left,left,0.83,"3-3_left: 27, 0-6_left: 166, 1-5_left: 25, 3-3_right: 3"
42575,43085,1-2-3_right,right,0.85,"3-3_right: 64, 1-2-3_right: 143, 0-6_right: 141, 2-4_right: 14, 1-5_right: 84, 3-3_left: 11, 1-5_left: 20, 1-2-3_left: 1"
43087,43280,0-6_left,right,0.71,"1-2-3_left: 4, 3-3_left: 4, 0-6_left: 6, 1-5_left: 1"
43284,43395,0-6_right,right,0.69,"1-5_left: 1, 1-5_right: 20, 0-6_right: 40"
43526,43904,0-6_left,left,0.84,"0-6_left: 323, 1-2-3_left: 18, 3-3_left: 25, 1-5_left: 7, 3-3_right: 6"
44094,44155,3-3_right,right,0.83,"1-2-3_right: 3, 1-5_right: 3, 3-3_left: 12, 2-4_left: 1, 3-3_right: 36, 1-2-3_left: 1, 2-4_right: 3"
44157,44263,3-3_right,right,0.86,"3-3_right: 53, 3-3_left: 9, 2-4_left: 20, 2-4_right: 1, 0-6_right: 4, 1-5_right: 2"
44265,45129,0-6_right,right,0.79,"2-4_left: 10, 3-3_right: 43, 1-2-3_right: 85, 3-3_left: 55, 1-5_right: 109, 0-6_right: 231, 2-4_right: 5, 1-2-3_left: 4, 1-5_left: 9"
45130,45371,0-6_left,left,0.84,"0-6_left: 223, 1-5_left: 17, 1-2-3_left: 1"
45372,45552,1-2-3_right,right,0.77,"0-6_right: 1, 1-2-3_right: 2"
45736,46453,0-6_right,right,0.84,"1-2-3_left: 2, 3-3_right: 69, 1-2-3_right: 195, 1-5_right: 56, 0-6_right: 206, 2-4_right: 12, 3-3_left: 7"
46455,46512,1-5_right,right,0.79,"1-2-3_right: 27, 1-5_right: 31"
46514,47287,0-6_right,right,0.82,"1-5_right: 78, 0-6_right: 435, 1-2-3_right: 63, 2-4_right: 2, 1-2-3_left: 2, 3-3_left: 7, 1-5_left: 9"
47288,47496,0-6_left,left,0.83,"0-6_left: 75, 3-3_right: 1, 3-3_left: 25"
47498,47901,0-6_left,left,0.87,"0-6_left: 215, 1-5_left: 22, 1-2-3_left: 24"
47903,48446,0-6_left,left,0.84,"0-6_left: 410, 1-5_left: 2, 1-2-3_left: 4, 3-3_left: 6"
48447,48771,3-3_right,right,0.86,"3-3_right: 43, 3-3_left: 34, 1-2-3_right: 3, 0-6_right: 35, 1-5_left: 10, 1-2-3_left: 7"
48840,48890,0-6_left,left,0.81,"3-3_left: 20, 2-4_left: 4, 0-6_left: 27"
48892,49253,0-6_left,left,0.85,0-6_left: 362
49256,49421,0-6_left,left,0.85,"0-6_left: 124, 1-2-3_left: 6, 1-5_left: 15, 3-3_left: 5, 2-4_left: 1"
49422,49706,1-2-3_right,right,0.86,"1-2-3_left: 14, 2-4_left: 8, 3-3_left: 18, 1-2-3_right: 43, 3-3_right: 6, 2-4_right: 5, 0-6_right: 20, 1-5_right: 5"
49956,50766,0-6_left,left,0.85,"0-6_left: 640, 1-5_left: 3"
50907,51010,3-3_left,right,0.71,"3-3_left: 1, 1-2-3_left: 1, 1-5_left: 1, 1-2-3_right: 1, 3-3_right: 1"
51011,51067,0-6_left,left,0.79,0-6_left: 57
51069,51200,0-6_left,left,0.78,"0-6_left: 116, 1-5_left: 16"
51355,52051,0-6_right,right,0.85,"0-6_right: 329, 1-5_right: 93, 1-2-3_right: 95, 3-3_right: 41, 2-4_right: 2, 1-2-3_left: 5, 1-5_left: 2, 2-4_left: 1"
52052,52512,0-6_left,left,0.85,"3-3_left: 4, 0-6_left: 68, 1-2-3_left: 42, 1-5_left: 8, 3-3_right: 2"
52514,53161,0-6_left,left,0.8,"1-5_left: 34, 0-6_left: 402, 1-2-3_left: 16"
53162,53240,2-4_right,right,0.82,"3-3_left: 8, 3-3_right: 4, 1-5_left: 1, 2-4_right: 20"
53242,53554,0-6_right,right,0.82,"2-4_right: 15, 1-2-3_right: 54, 0-6_right: 107, 3-3_right: 8, 1-5_right: 30, 3-3_left: 2"
53556,54189,3-3_left,right,0.74,"0-6_right: 81, 1-5_right: 8, 1-2-3_right: 10, 3-3_right: 72, 3-3_left: 85, 1-2-3_left: 68, 2-4_left: 43, 1-5_left: 13"
54190,54742,0-6_left,left,0.85,"0-6_left: 298, 1-5_left: 14, 1-2-3_left: 13, 3-3_left: 13, 3-3_right: 15, 1-2-3_right: 5"
54743,56086,0-6_right,right,0.85,"3-3_right: 170, 2-4_right: 31, 3-3_left: 1, 0-6_right: 522, 1-2-3_right: 218, 1-5_right: 31"
56106,56366,3-3_left,right,0.74,"3-3_right: 54, 1-5_right: 3, 3-3_left: 65, 1-2-3_left: 14, 1-2-3_right: 37, 0-6_right: 31, 2-4_left: 30, 1-5_left: 2"
56367,56722,0-6_left,left,0.8,"0-6_left: 109, 1-5_left: 24, 1-2-3_left: 30, 3-3_left: 1, 3-3_right: 1"
56752,56838,1-5_left,left,0.75,"0-6_left: 2, 1-5_left: 21"
56840,57193,1-5_left,left,0.75,"1-5_left: 124, 3-3_left: 54, 3-3_right: 10, 1-2-3_right: 5, 0-6_left: 1"
57194,57469,0-6_right,right,0.67,"0-6_right: 26, 1-5_left: 3, 1-5_right: 6"
57471,58192,0-6_right,right,0.77,"0-6_right: 172, 1-5_right: 117, 1-2-3_right: 51, 3-3_right: 40, 2-4_right: 2, 3-3_left: 27, 1-5_left: 7, 1-2-3_left: 3, 0-6_left: 2"
58388,58599,0-6_left,left,0.79,"0-6_left: 196, 3-3_left: 7, 1-5_left: 5"
58638,58817,3-3_left,right,0.69,"3-3_left: 7, 0-6_right: 3, 1-5_right: 2, 3-3_right: 2"
58819,59501,0-6_right,right,0.87,"3-3_right: 82, 0-6_right: 287, 1-2-3_right: 87, 1-5_right: 36, 2-4_right: 3, 2-4_left: 16, 1-2-3_left: 2, 3-3_left: 4, 0-6_left: 2"
59502,59676,0-6_left,left,0.85,"1-2-3_right: 12, 1-5_right: 3, 3-3_left: 17, 2-4_left: 8, 0-6_left: 135"
59956,60255,0-6_left,left,0.8,"0-6_left: 165, 3-3_left: 3, 1-5_left: 26, 2-4_left: 5, 1-2-3_right: 1"
60256,61062,0-6_right,right,0.85,"3-3_right: 67, 0-6_right: 443, 1-2-3_right: 62, 2-4_right: 6, 1-5_right: 33, 3-3_left: 7"
61064,61269,3-3_right,right,0.73,"3-3_right: 70, 1-2-3_right: 38, 3-3_left: 18, 1-2-3_left: 9, 0-6_right: 4, 1-5_right: 42, 1-5_left: 2, 2-4_left: 1, 2-4_right: 11"
61271,61352,3-3_right,right,0.71,"1-5_right: 17, 0-6_right: 8, 2-4_right: 4, 1-2-3_right: 18, 3-3_right: 34"
61354,61563,3-3_right,right,0.74,"1-2-3_right: 36, 3-3_right: 55, 2-4_right: 6, 0-6_right: 16, 1-5_right: 44, 3-3_left: 28, 2-4_left: 5, 1-2-3_left: 3, 1-5_left: 6"
61565,61686,0-6_right,right,0.81,"1-5_right: 17, 0-6_right: 30, 1-2-3_right: 15, 3-3_right: 30, 3-3_left: 23, 2-4_right: 3"
61690,61787,1-5_left,right,0.68,"1-5_right: 14, 3-3_right: 8, 3-3_left: 1, 1-5_left: 49, 1-2-3_left: 4, 0-6_left: 20"
61789,62179,1-5_left,right,0.68,"0-6_left: 30, 1-5_left: 152, 1-5_right: 63, 0-6_right: 29, 3-3_right: 53, 1-2-3_left: 17, 1-2-3_right: 7, 3-3_left: 1"
62182,62698,0-6_right,right,0.7,"0-6_right: 85, 1-2-3_right: 33, 1-5_right: 40, 1-5_left: 2, 3-3_left: 11, 1-2-3_left: 2, 3-3_right: 25, 2-4_right: 2"
62701,63033,1-5_right,right,0.86,"1-5_left: 27, 3-3_left: 10, 3-3_right: 25, 1-2-3_right: 17, 1-5_right: 77, 0-6_right: 53, 1-2-3_left: 4, 2-4_left: 1"
63034,63415,1-2-3_left,left,0.86,"0-6_left: 40, 1-2-3_left: 67, 1-5_left: 6, 3-3_left: 16"
63417,64118,0-6_left,left,0.84,"1-5_left: 4, 0-6_left: 633, 3-3_left: 1"
64120,64201,0-6_left,left,0.84,"0-6_left: 78, 1-5_left: 4"
64394,65740,0-6_right,right,0.86,"1-5_left: 10, 3-3_left: 28, 1-5_right: 120, 3-3_right: 109, 1-2-3_right: 124, 0-6_right: 430, 1-2-3_left: 3, 2-4_right: 3, 2-4_left: 4"
65741,66199,0-6_left,left,0.83,"0-6_left: 433, 1-5_left: 1"
66298,66536,3-3_left,right,0.72,"3-3_left: 31, 1-2-3_right: 2, 3-3_right: 7, 1-5_right: 8, 2-4_left: 2, 1-2-3_left: 1, 1-5_left: 2"
66537,66596,0-6_left,left,0.83,0-6_left: 60
66598,66650,0-6_left,left,0.82,0-6_left: 53
66652,67009,0-6_left,left,0.83,"0-6_left: 304, 3-3_left: 17, 1-2-3_left: 2, 1-5_left: 14, 2-4_left: 21"
67266,67560,0-6_left,left,0.65,"0-6_left: 57, 1-5_left: 11, 1-2-3_left: 6"
67563,68158,0-6_left,left,0.76,"1-2-3_left: 36, 0-6_left: 350, 1-5_left: 69"
68159,68386,0-6_right,right,0.71,"0-6_right: 124, 1-2-3_left: 1, 1-2-3_right: 1, 1-5_right: 10, 3-3_right: 9, 0-6_left: 4"
68388,69147,0-6_right,right,0.84,"0-6_right: 356, 3-3_left: 1, 3-3_right: 184, 1-5_right: 70, 1-2-3_right: 113, 2-4_right: 27"
69149,69891,0-6_right,right,0.82,"1-5_right: 60, 0-6_right: 224, 1-2-3_right: 43, 3-3_right: 75, 2-4_right: 3, 3-3_left: 5, 1-5_left: 8"
69892,70201,0-6_left,left,0.83,"3-3_left: 12, 0-6_left: 277, 1-5_left: 20, 1-2-3_left: 1"
70493,70574,3-3_left,right,0.77,"1-2-3_left: 1, 2-4_left: 7, 3-3_left: 44, 1-5_left: 1, 3-3_right: 22"
